dataset_id,source_url,acquisition_method,local_path,license_or_terms,date_acquired,scripted,manual_steps,notes
etosha_boundary,https://www.openstreetmap.org/relation/2982497,scripted_download,data/raw/etosha_boundary/etosha_boundary_nominatim.geojson,"OpenStreetMap contributors, ODbL 1.0",2026-03-19,true,rerun the nominatim relation fetch and keep the raw geojson plus the public map image in the same directory,raw boundary geometry is stored as a nominatim geojson export backed by the OSM Etosha relation
etosha_pan,https://nominatim.openstreetmap.org/search?q=Etosha%20Pan&format=geojsonv2&polygon_geojson=1,scripted_download,data/raw/etosha_boundary/etosha_pan_nominatim.geojson,"OpenStreetMap contributors, ODbL 1.0",2026-03-19,true,refresh the nominatim Etosha Pan geometry export if the pan polygon needs to be re-derived,the processed pan polygon now comes from the OSM Etosha Pan relation rather than a hand-drawn approximation
etosha_public_map,https://etoshanationalpark.org/map-of-etosha-national-park,manual_download,data/raw/etosha_boundary/etosha_map_2025.jpg,respect site terms; retained as a visual reference for manual review only,2026-03-19,false,"store the public Etosha map image used for manual camp, gate, and pan review",the east and west map extracts are companion inspection artifacts kept alongside the main public map image
roads,https://download.geofabrik.de/africa/namibia-latest-free.shp.zip,scripted_download,data/raw/roads/namibia-latest-free.shp.zip,"OpenStreetMap contributors, ODbL 1.0 via Geofabrik extract",2026-03-19,true,refresh the geofabrik Namibia shapefile zip and rerun the infrastructure normalization script,roads and many poi-derived waterholes come from the geofabrik OSM shapefile extract
waterholes,https://download.geofabrik.de/africa/namibia-latest-free.shp.zip,scripted_extraction,data/raw/waterholes/etosha_waterholes_geofabrik.csv,"OpenStreetMap contributors, ODbL 1.0 via Geofabrik extract",2026-03-19,true,rerun the geofabrik poi extraction inside the Etosha boundary and review duplicates before committing the csv,the current raw csv contains 54 named waterholes or water points extracted from the geofabrik poi layer
gates,https://www.openstreetmap.org/relation/2982497,scripted_derivation,data/raw/gates/etosha_gates_osm.csv,"OpenStreetMap contributors, ODbL 1.0",2026-03-19,true,rebuild the gate csv from boundary-road intersections if the park boundary or OSM road network changes; keep the official map label note for Von Lindequist Gate,"all gate points are derived from OSM road intersections with the Etosha boundary, eliminating the earlier manual east-gate estimate"
camps,https://download.geofabrik.de/africa/namibia-latest-free.shp.zip,manual_curation,data/raw/camps/etosha_camps_osm.csv,"OpenStreetMap contributors, ODbL 1.0 via Geofabrik and Nominatim",2026-03-19,false,refresh the six main camp coordinates from geofabrik poi features where available and nominatim where geofabrik lacks a named camp point,"the current camp table is fully source-backed by OSM features, with geofabrik poi points for four camps and nominatim OSM search results for Dolomite and Onkoshi"
elephants,"https://api.gbif.org/v1/occurrence/search?scientificName=Loxodonta+africana&decimalLatitude=-19.49,-18.45&decimalLongitude=14.35,17.15&hasCoordinate=true",scripted_download,data/raw/elephants/gbif_elephant_occurrences.csv,GBIF occurrence data terms apply; retain citation metadata if expanded later,2026-03-19,true,refresh the full paginated GBIF elephant pull or replace it with the richer Movebank telemetry package if it becomes available,this mvp currently uses a full 984-record GBIF pull because the public API path was immediately usable; Movebank would still be the higher-fidelity upgrade
rhino_reference,http://rhinoresourcecenter.com/wp-content/uploads/2022/01/1642693511.pdf,manual_download,data/raw/rhino_reference/rhino_resource_center_reference.pdf,"respect publication terms; derived ecological inference only, not sensitive location release",2026-03-19,false,store the cited rhino reference document and the extracted figure page image used for digitization,"the repo keeps the report pdf plus page extracts, then digitizes approximate rhino detections from figure 6 with explicit georeferencing caveats"
carnivore_reference,https://orc.eco/counting-carnivores-in-the-greater-etosha-landscape-cont/,manual_download,data/raw/carnivore_reference/orc_detection_1.webp,respect page and image terms; use as a public figure for approximate digitization only,2026-03-19,false,store the ORC detection image that contains the lion panel and rerun the digitization script if the image changes,the current lion layer is derived from approximate digitization of the ORC playback-detection map rather than buffered GBIF occurrences
lion_detections_digitized,https://orc.eco/counting-carnivores-in-the-greater-etosha-landscape-cont/,scripted_digitization,data/raw/carnivore_reference/lion_detections_digitized.csv,derived approximate coordinates from a public figure; not survey-grade point release,2026-03-19,true,rerun scripts/04_digitize_reference_maps.py after updating the ORC source image or its GCP table and review the detection count and GCP fit metrics,the csv stores approximate lion detections georeferenced from the ORC map image with a quadratic GCP-based warp and explicit uncertainty fields
lion_georeference_gcps,https://orc.eco/counting-carnivores-in-the-greater-etosha-landscape-cont/,manual_curation,data/raw/carnivore_reference/lion_georeference_gcps.csv,repo-authored control points referencing public map features,2026-03-19,false,update the image-space control points if the source image changes or if a better georeferencing fit is needed,these GCPs tie visible lion-map features to known Etosha boundary and pan coordinates for the digitization warp
rhino_detections_digitized,http://rhinoresourcecenter.com/wp-content/uploads/2022/01/1642693511.pdf,scripted_digitization,data/raw/rhino_reference/rhino_detections_digitized.csv,derived approximate coordinates from a public figure; retained only as buffered support-area input,2026-03-19,true,rerun scripts/04_digitize_reference_maps.py after updating the rhino figure extract or its GCP table and review the detection count and GCP fit metrics,the csv stores approximate rhino detections digitized from figure 6 of the aerial survey report and georeferenced with a quadratic GCP-based warp
rhino_georeference_gcps,http://rhinoresourcecenter.com/wp-content/uploads/2022/01/1642693511.pdf,manual_curation,data/raw/rhino_reference/rhino_georeference_gcps.csv,repo-authored control points referencing public figure features,2026-03-19,false,update the image-space control points if the figure extract changes or if a better georeferencing fit is needed,these GCPs tie visible rhino-map features to known Etosha boundary and pan coordinates for the digitization warp
wildfires,"https://eonet.gsfc.nasa.gov/api/v3/events?category=wildfires&bbox=14.35,-19.49,17.15,-18.45&status=all&limit=200",scripted_download,data/raw/wildfires/eonet_wildfires_bbox.json,NASA EONET open data terms apply,2026-03-19,true,refresh the EONET bbox query and confirm that the resulting events still fall within or near the park before reuse,"the current wildfire raw artifact contains five bbox-matched EONET wildfire events, four of which fall inside the processed park boundary"
