scenario_id,alpha,coverage_target,achieved_protection,response_objective,budget_used,tourism_penalty_used,selected_site_count,selected_people,selected_cars,selected_drones,selected_cameras,locked_down_waterholes,selected_interventions,mean_response_time_min,p90_response_time_min,covered_cell_share,mean_fire_delay_penalty,selected_high_risk_sites,status,parameter_name,parameter_label,parameter_category,multiplier,coverage_max,recommended_alpha
etosha_placeholder_baseline,0.95,154.4262724837185,154.75859527976462,10233.830205052407,31865.0,1200.0,103,0,100,3,20,4,3,53.27952219552807,138.7365878994856,0.2969215491559086,26.42516467763525,58,ok,budget_total,budget total,resources,0.5,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.75859527976462,10233.830205052407,31865.0,1200.0,103,0,100,3,20,4,3,53.27952219552807,138.7365878994856,0.2969215491559086,26.42516467763525,58,ok,budget_total,budget total,resources,2.0,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.75859527976462,10233.830205052407,31865.0,1200.0,103,0,100,3,20,4,3,53.27952219552807,138.7365878994856,0.2969215491559086,26.42516467763525,58,ok,max_people,people cap,resources,0.5,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.75859527976462,10233.830205052407,31865.0,1200.0,103,0,100,3,20,4,3,53.27952219552807,138.7365878994856,0.2969215491559086,26.42516467763525,58,ok,max_people,people cap,resources,2.0,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,151.33706272859885,151.41970199445308,12069.43280881036,30210.0,1200.0,102,0,100,2,20,4,3,56.64672438927503,140.75800770969835,0.2869910625620655,28.683720464334773,58,ok,max_drones,drone cap,resources,0.5,159.30217129326195,0.95
etosha_placeholder_baseline,0.95,161.56349742897163,162.04022639061256,6197.905607846691,36680.0,1200.0,104,0,99,6,20,4,3,40.67676258762799,106.28253995834645,0.3187686196623635,15.475985931228404,58,ok,max_drones,drone cap,resources,2.0,170.06683939891752,0.95
etosha_placeholder_baseline,0.95,154.0338507693132,154.34551979091694,10233.830205052407,30265.0,1200.0,103,0,100,3,10,2,3,53.27952219552807,138.7365878994856,0.2969215491559086,26.42516467763525,58,ok,max_cameras,camera cap,resources,0.5,162.14089554664548,0.95
etosha_placeholder_baseline,0.95,155.12124153431597,155.49014164881459,10233.830205052407,35065.0,1200.0,103,0,100,3,40,8,3,53.27952219552807,138.7365878994856,0.2969215491559086,26.42516467763525,58,ok,max_cameras,camera cap,resources,2.0,163.28551740454313,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.73406430066612,12920.871540985358,36015.0,1600.0,103,0,100,3,20,4,4,50.464112254834575,130.47757545589425,0.29890764647467727,31.033184770048287,58,ok,tau_fire_min,fire threshold tau,fire,0.5,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.43949376613185,7281.866085625294,31865.0,1200.0,103,0,100,3,20,4,3,53.637019712906415,138.7365878994856,0.28798411122144985,12.508656589809554,58,ok,tau_fire_min,fire threshold tau,fire,2.0,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.49919577362465,6201.318700251004,31865.0,1200.0,103,0,100,3,20,4,3,53.27952219552807,138.7365878994856,0.2969215491559086,1.664081304109492,58,ok,beta_fire,fire penalty slope beta,fire,0.5,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.5516932135422,890793.3573388197,52465.0,3200.0,103,0,100,3,20,4,8,51.325985182875264,131.3630489025351,0.2899702085402185,5388.345934300734,56,ok,beta_fire,fire penalty slope beta,fire,2.0,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.75859527976462,8082.070950997147,31865.0,1200.0,103,0,100,3,20,4,3,53.27952219552807,138.7365878994856,0.2969215491559086,26.42516467763525,58,ok,lambda_fire,fire penalty weight lambda,fire,0.5,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.48125408170014,14754.789919262177,36015.0,1600.0,103,0,100,3,20,4,4,53.2767418416098,138.14905281885004,0.2840119165839126,26.144619506570123,58,ok,lambda_fire,fire penalty weight lambda,fire,2.0,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,79.15917182118268,79.21645735965646,10233.830205052407,31865.0,1200.0,103,0,100,3,20,4,3,53.27952219552807,138.7365878994856,0.2959285004965243,26.42516467763525,58,ok,protection_leverage_scale,protection leverage scale,protection,0.5,83.32544402229756,0.95
etosha_placeholder_baseline,0.95,304.96047380879014,305.54959083744507,10233.830205052407,31865.0,1200.0,103,0,100,3,20,4,3,53.27952219552807,138.7365878994856,0.2969215491559086,26.42516467763525,58,ok,protection_leverage_scale,protection leverage scale,protection,2.0,321.01102506188437,0.95
etosha_placeholder_baseline,0.95,153.97982285049997,154.28864829742935,10233.830205052407,31865.0,1200.0,103,0,100,3,20,4,3,53.27952219552807,138.7365878994856,0.2969215491559086,26.42516467763525,58,ok,camera_gain_factor,camera gain factor,protection,0.5,162.08402405315786,0.95
etosha_placeholder_baseline,0.95,155.3191717501555,155.6984892444352,10233.830205052407,31865.0,1200.0,103,0,100,3,20,4,3,53.27952219552807,138.7365878994856,0.2969215491559086,26.425164677635255,58,ok,camera_gain_factor,camera gain factor,protection,2.0,163.4938650001637,0.95
etosha_placeholder_baseline,0.95,149.2078887790536,149.29357622853078,8697.651185500823,19415.0,0.0,103,0,100,3,20,4,0,50.464112254834575,130.47757545589425,0.29890764647467727,23.699538668740903,58,ok,waterhole_dispersion_benefit,waterhole dispersion benefit,interventions,0.5,157.06093555689853,0.95
etosha_placeholder_baseline,0.95,164.86303989304827,165.4945799916989,11497.651185500823,48465.0,2800.0,103,0,100,3,20,4,7,50.464112254834575,130.47757545589425,0.29890764647467727,23.699538668740903,58,ok,waterhole_dispersion_benefit,waterhole dispersion benefit,interventions,2.0,173.5400419926824,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.73406430066612,11437.938031872967,36015.0,1600.0,103,0,100,3,20,4,4,56.663210975155515,130.47757545589425,0.29890764647467727,25.875652711360786,58,ok,drone_response_speed_kmh,drone response speed,mobility,0.5,162.55397103549316,0.95
etosha_placeholder_baseline,0.95,154.4262724837185,154.52266442999903,9844.914741087236,31865.0,1200.0,103,0,100,3,20,4,3,50.35088422270319,138.7365878994856,0.2959285004965243,26.423639829534117,58,ok,drone_response_speed_kmh,drone response speed,mobility,2.0,162.55397103549316,0.95
